Timestamp,FrameIndex,RangeBin,RawPhase,BreathBPM,HeartBPM,PhaseRange,BreathRatio,HeartProminence,ApneaFlag,SQI_Level
2026-06-06T14:34:53.526651,211,10,1.640481,23.9,65.3,4.788868,0.4482,0,0,3
2026-06-06T14:34:54.459591,221,10,1.506647,25.2,64.2,4.783528,0.3919,0,0,3
2026-06-06T14:34:55.392312,230,10,7.022299,22.5,64.4,4.783528,0.4229,0,0,3
2026-06-06T14:34:56.331450,240,10,7.960118,23.9,64.1,4.783528,0.471,0,0,3
2026-06-06T14:34:57.275383,250,10,9.044435,28.0,63.9,4.783528,0.4433,0,0,3
2026-06-06T14:34:58.206254,260,10,10.016862,30.9,64.1,4.788868,0.4635,0,0,3
2026-06-06T14:34:59.147319,270,10,9.039373,31.1,64.7,4.811007,0.4514,0,0,3
2026-06-06T14:35:00.091191,280,10,7.644547,31.3,65.3,4.899643,0.4149,0,0,3
2026-06-06T14:35:01.017935,289,10,1.592746,31.4,66.1,4.898723,0.407,0,0,3
2026-06-06T14:35:01.961434,300,10,6.731183,30.1,67.7,4.818799,0.3825,0,0,3
2026-06-06T14:35:02.890565,309,10,1.503727,29.5,66.9,4.818799,0.424,0,0,3
2026-06-06T14:35:03.829067,319,10,1.446021,27.0,68.6,4.813459,0.3766,0,0,3
2026-06-06T14:35:04.776648,329,10,1.510763,29.2,70.7,4.813459,0.4467,0,0,3
2026-06-06T14:35:05.708586,339,10,1.632109,34.2,76.2,4.818799,0.5597,0,0,3
2026-06-06T14:35:06.651848,349,10,1.387551,32.3,75.3,4.818799,0.4314,0,0,3
2026-06-06T14:35:07.579620,359,10,1.506204,34.1,80.0,4.813459,0.4734,0,0,3
2026-06-06T14:35:08.523726,369,10,1.389653,34.3,80.9,3.058161,0.476,0,0,3
2026-06-06T14:35:09.453877,379,10,1.405533,36.7,77.4,3.058004,0.4741,0,0,3
2026-06-06T14:35:10.392599,388,10,1.422062,36.9,76.4,3.058004,0.4851,0,0,3
2026-06-06T14:35:11.331774,398,10,1.408283,35.7,77.3,3.058161,0.4674,0,0,3
2026-06-06T14:35:12.267921,408,10,1.282077,37.7,79.8,2.317991,0.4673,0,0,3
2026-06-06T14:35:13.207144,418,10,1.409612,37.7,74.0,2.304481,0.5605,0,0,3
2026-06-06T14:35:14.154040,428,10,1.123088,39.2,74.0,2.335144,0.4562,0,0,3
2026-06-06T14:35:15.083666,438,10,1.159876,39.3,72.6,2.289024,0.5519,0,0,3
2026-06-06T14:35:16.025040,448,10,1.138705,37.4,70.9,2.293108,0.4618,0,0,3
2026-06-06T14:35:16.956034,457,10,1.126138,34.1,69.4,2.293108,0.4889,0,0,3
2026-06-06T14:35:17.897493,467,10,1.105069,36.6,68.6,2.293108,0.5097,0,0,3
2026-06-06T14:35:18.830778,477,10,1.154144,34.7,68.6,2.293108,0.5474,0,0,3
2026-06-06T14:35:19.818564,487,10,1.141462,33.2,67.1,2.289024,0.5868,0,0,3
2026-06-06T14:35:20.763099,497,10,1.023238,32.9,65.3,2.293108,0.5236,0,0,3
2026-06-06T14:35:21.691609,507,10,1.079424,31.4,65.1,2.293108,0.5208,0,0,3
2026-06-06T14:35:22.635766,517,10,1.005676,31.4,65.3,2.110159,0.5468,0,0,3
2026-06-06T14:35:23.563822,527,10,1.162914,27.9,64.5,2.116259,0.5928,0,0,3
2026-06-06T14:35:24.501273,536,10,0.894509,27.9,64.5,2.115689,0.4598,0,0,3
2026-06-06T14:35:25.439226,546,10,0.835339,25.0,66.2,1.723055,0.4013,0,0,3
2026-06-06T14:35:26.377625,556,10,0.942278,23.3,66.2,1.72117,0.4563,0,0,3
2026-06-06T14:35:27.313627,566,10,0.85306,22.5,77.0,1.723055,0.4374,0,0,3
2026-06-06T14:35:28.250551,576,10,0.880758,23.8,68.8,1.723055,0.5344,0,0,3
2026-06-06T14:35:29.195249,586,10,1.477698,21.3,72.9,1.82293,0.7248,0,0,3
2026-06-06T14:35:30.137545,596,10,0.989101,23.6,74.6,1.82293,0.5822,0,0,3
2026-06-06T14:35:31.062660,605,10,5.696226,26.5,71.6,1.83424,0.4756,0,0,3
